date,retailerCountry,orderMethodType,retailerType,productLine,productType,productId,revenue,quantity,grossMargin
2015-02-04,China,Web,Golf Shop,Personal Accessories,Eyewear,1049,26215.15,1301,0.40372533
2016-01-07,China,Web,Golf Shop,Personal Accessories,Eyewear,1049,31232.5,1550,0.4009631
2017-03-22,China,Web,Golf Shop,Personal Accessories,Eyewear,1049,19082.5,898,0.41482667
2015-04-25,China,Web,Golf Shop,Personal Accessories,Eyewear,1049,26920.4,1336,0.40300441
2016-06-04,China,Web,Golf Shop,Personal Accessories,Eyewear,1049,29600.35,1469,0.40167735
2017-04-22,China,Web,Golf Shop,Personal Accessories,Eyewear,1049,49427.5,2326,0.4177379
2015-08-04,China,Web,Golf Shop,Personal Accessories,Eyewear,1049,12996.75,645,0.39469791
2016-09-13,China,Web,Golf Shop,Personal Accessories,Eyewear,1049,41094.4,1988,0.40600617
2017-08-09,China,Web,Golf Shop,Personal Accessories,Eyewear,1049,10901.25,513,0.41647059
2015-10-05,China,Web,Golf Shop,Personal Accessories,Eyewear,1049,11807.9,586,0.3971138
2016-10-09,China,Web,Golf Shop,Personal Accessories,Eyewear,1049,6885,324,0.41552941
2017-03-06,China,Web,Golf Shop,Personal Accessories,Navigation,1140,18974,53,0.35213872
2015-06-14,China,Web,Golf Shop,Personal Accessories,Navigation,1140,5012,14,0.33706704
2016-05-13,China,Web,Golf Shop,Personal Accessories,Navigation,1140,20764,58,0.34325178
2017-06-16,China,Web,Golf Shop,Personal Accessories,Navigation,1140,8234,23,0.3577095
2017-07-22,China,Web,Golf Shop,Personal Accessories,Navigation,1140,9666,27,0.35871508
2015-10-13,China,Web,Golf Shop,Personal Accessories,Navigation,1140,10382,29,0.33531497
2016-11-21,China,Web,Golf Shop,Personal Accessories,Navigation,1140,23986,67,0.35182065
2015-02-08,China,Telephone,Golf Shop,Golf Equipment,Woods,1063,230014.08,342,0.49208675
2015-01-03,China,Fax,Golf Shop,Golf Equipment,Woods,1063,198666.24,290,0.50135463
2016-03-03,China,Fax,Golf Shop,Golf Equipment,Woods,1063,240085.2,404,0.4251774
2016-01-03,China,Web,Golf Shop,Golf Equipment,Woods,1063,144211.2,259,0.38649425
2016-02-26,China,Sales visit,Golf Shop,Golf Equipment,Woods,1063,109098,165,0.48336358
2017-01-01,China,Web,Golf Shop,Golf Equipment,Woods,1063,635239.2,940,0.49451482
2015-05-11,China,Fax,Golf Shop,Golf Equipment,Woods,1063,165522.72,253,0.47786745
2015-05-04,China,Telephone,Golf Shop,Golf Equipment,Woods,1063,73274.88,112,0.47786745
2016-06-06,China,Telephone,Golf Shop,Golf Equipment,Woods,1063,384818.4,582,0.48336358
2017-05-25,China,Web,Golf Shop,Golf Equipment,Woods,1063,478047.6,723,0.48336358
2015-09-10,China,Telephone,Golf Shop,Golf Equipment,Woods,1063,170756.64,261,0.47786745
2015-09-08,China,Fax,Golf Shop,Golf Equipment,Woods,1063,83088.48,127,0.47786745
2016-08-18,China,Web,Golf Shop,Golf Equipment,Woods,1063,374900.4,567,0.48336358
2017-09-20,China,Web,Golf Shop,Golf Equipment,Woods,1063,156043.2,236,0.48336358
2015-10-13,China,Web,Golf Shop,Golf Equipment,Woods,1063,180570.24,276,0.47786745
2015-11-26,China,Fax,Golf Shop,Golf Equipment,Woods,1063,104678.4,160,0.47786745
2016-10-03,China,Web,Golf Shop,Golf Equipment,Woods,1063,357048,540,0.48336358
2015-03-01,China,Telephone,Golf Shop,Golf Equipment,Irons,1059,233915.76,268,0.43751289
2015-01-13,China,Web,Golf Shop,Golf Equipment,Irons,1059,116957.88,134,0.43751289
2016-03-25,China,Fax,Golf Shop,Golf Equipment,Irons,1059,151721.2,172,0.48883347
2016-01-09,China,Web,Golf Shop,Golf Equipment,Irons,1059,124162.44,164,0.45890158
2016-03-04,China,Sales visit,Golf Shop,Golf Equipment,Irons,1059,161424.3,183,0.48883347
2017-03-05,China,Web,Golf Shop,Golf Equipment,Irons,1059,769775.57,961,0.4559692
2015-05-21,China,Web,Golf Shop,Golf Equipment,Irons,1059,236534.22,271,0.43751289
2015-05-16,China,Telephone,Golf Shop,Golf Equipment,Irons,1059,105611.22,121,0.43751289
2016-05-15,China,Web,Golf Shop,Golf Equipment,Irons,1059,238167,270,0.48883347
2016-06-21,China,Telephone,Golf Shop,Golf Equipment,Irons,1059,572436.18,693,0.47611
2017-05-20,China,Web,Golf Shop,Golf Equipment,Irons,1059,553958.8,628,0.49110078
2015-07-21,China,Telephone,Golf Shop,Golf Equipment,Irons,1059,335162.88,384,0.43751289
2016-09-09,China,Web,Golf Shop,Golf Equipment,Irons,1059,546019.9,619,0.48883347
2017-08-14,China,Web,Golf Shop,Golf Equipment,Irons,1059,195826.2,222,0.49110078
2015-11-10,China,Fax,Golf Shop,Golf Equipment,Irons,1059,128304.54,147,0.43751289
2015-12-15,China,Web,Golf Shop,Golf Equipment,Irons,1059,278429.58,319,0.43751289
2016-10-05,China,Web,Golf Shop,Golf Equipment,Irons,1059,468395.1,531,0.48883347
2015-02-21,China,Web,Golf Shop,Personal Accessories,Eyewear,1047,46069.65,1441,0.33016096
2016-03-16,China,Web,Golf Shop,Personal Accessories,Eyewear,1047,17811.05,496,0.33762805
2017-02-25,China,Web,Golf Shop,Personal Accessories,Eyewear,1047,39959.3,1304,0.33790932
2015-04-24,China,Web,Golf Shop,Personal Accessories,Eyewear,1047,56580.25,1510,0.33875107
2016-05-03,China,Web,Golf Shop,Personal Accessories,Eyewear,1047,19337.85,441,0.34809144
2017-06-05,China,Web,Golf Shop,Personal Accessories,Eyewear,1047,62578.25,2064,0.34146257
2015-08-03,China,Web,Golf Shop,Personal Accessories,Eyewear,1047,38055.5,1350,0.31501439
2016-07-04,China,Web,Golf Shop,Personal Accessories,Eyewear,1047,55663.85,1771,0.33738054
2017-09-11,China,Web,Golf Shop,Personal Accessories,Eyewear,1047,11437.5,375,0.34
2015-10-21,China,Web,Golf Shop,Personal Accessories,Eyewear,1047,30612.05,1022,0.31729923
2016-11-04,China,Web,Golf Shop,Personal Accessories,Eyewear,1047,79143.25,2787,0.31838331
2015-02-05,China,Web,Golf Shop,Personal Accessories,Eyewear,1051,38790,481,0.49799562
2016-01-09,China,Web,Golf Shop,Personal Accessories,Eyewear,1051,71919,881,0.49872593
2017-01-09,China,Web,Golf Shop,Personal Accessories,Eyewear,1051,89759.15,1023,0.49814186
2015-05-02,China,Web,Golf Shop,Personal Accessories,Eyewear,1051,29285,363,0.49836333
2016-06-14,China,Web,Golf Shop,Personal Accessories,Eyewear,1051,67157,806,0.50303587
2017-05-14,China,Web,Golf Shop,Personal Accessories,Eyewear,1051,33076.25,381,0.50395132
2015-08-09,China,Web,Golf Shop,Personal Accessories,Eyewear,1051,36634,449,0.48852869
2016-07-10,China,Web,Golf Shop,Personal Accessories,Eyewear,1051,30623.25,352,0.50171651
2017-09-10,China,Web,Golf Shop,Personal Accessories,Eyewear,1051,5268.7,59,0.52418813
2015-11-14,China,Web,Golf Shop,Personal Accessories,Eyewear,1051,44956,544,0.49467969
2016-12-05,China,Web,Golf Shop,Personal Accessories,Eyewear,1051,89621.35,1016,0.50744951
2015-02-03,China,Web,Golf Shop,Personal Accessories,Eyewear,1052,26457.8,526,0.39583336
2016-02-14,China,Web,Golf Shop,Personal Accessories,Eyewear,1052,16347.5,325,0.39537789
2017-02-01,China,Web,Golf Shop,Personal Accessories,Eyewear,1052,23622,465,0.38419482
2015-06-24,China,Web,Golf Shop,Personal Accessories,Eyewear,1052,40390.9,803,0.39204573
2017-06-08,China,Web,Golf Shop,Personal Accessories,Eyewear,1052,30635.9,608,0.40825633
2015-09-19,China,Web,Golf Shop,Personal Accessories,Eyewear,1052,12876.8,256,0.38895999
2016-09-12,China,Web,Golf Shop,Personal Accessories,Eyewear,1052,17102,340,0.40528827
2017-07-17,China,Web,Golf Shop,Personal Accessories,Eyewear,1052,4476.7,89,0.41252485
2015-11-18,China,Web,Golf Shop,Personal Accessories,Eyewear,1052,35461.5,705,0.39095216
2016-11-21,China,Web,Golf Shop,Personal Accessories,Eyewear,1052,6941.4,138,0.41033797
2016-02-16,China,Fax,Golf Shop,Personal Accessories,Binoculars,1108,30321.2,238,0.2733124
2016-02-07,China,Web,Golf Shop,Personal Accessories,Watches,1102,14212,85,0.47557557
2017-03-25,China,Web,Golf Shop,Personal Accessories,Watches,1102,15036,88,0.48624102
2015-04-24,China,Web,Golf Shop,Personal Accessories,Watches,1102,31266.8,185,0.473508
2016-05-24,China,Web,Golf Shop,Personal Accessories,Watches,1102,47957.6,276,0.47460173
2017-05-25,China,Web,Golf Shop,Personal Accessories,Watches,1102,40128,240,0.4933423
2015-07-26,China,Web,Golf Shop,Personal Accessories,Watches,1102,5239.2,30,0.47274393
2016-08-16,China,Web,Golf Shop,Personal Accessories,Watches,1102,4848.8,29,0.47739234
2017-08-19,China,Web,Golf Shop,Personal Accessories,Watches,1102,6688,40,0.4958134
2015-12-14,China,Web,Golf Shop,Personal Accessories,Watches,1102,29168,170,0.47247874
2016-10-22,China,Web,Golf Shop,Personal Accessories,Watches,1102,29162.8,165,0.47637881
2015-01-18,China,Web,Golf Shop,Personal Accessories,Eyewear,1050,14430,222,0.39439501
2016-01-15,China,Web,Golf Shop,Personal Accessories,Eyewear,1050,39766.9,614,0.42018287
2017-03-18,China,Web,Golf Shop,Personal Accessories,Eyewear,1050,54359.4,821,0.45614227
2015-04-03,China,Web,Golf Shop,Personal Accessories,Eyewear,1050,31058.15,484,0.41117162
2016-06-22,China,Web,Golf Shop,Personal Accessories,Eyewear,1050,71645.35,1093,0.40812516
2017-06-16,China,Web,Golf Shop,Personal Accessories,Eyewear,1050,104698.45,1516,0.43328129
2015-08-04,China,Web,Golf Shop,Personal Accessories,Eyewear,1050,35295,543,0.38859555
